Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,8,3,6,DL,10397,14747,1754,-3,0,2013,-5,0,0
2013,4,21,7,DL,11193,13204,905,-7,0,1112,2,0,0
2013,7,9,2,AA,11298,13487,2025,35,1,2245,25,1,0
2013,5,23,4,B6,11057,10721,1000,-9,0,1208,-18,0,0
2013,5,2,4,AA,13930,11298,740,-3,0,1010,-6,0,0
2013,6,29,6,AS,14679,13204,2220,6,0,550,20,1,0
2013,8,13,2,OO,12266,13342,1715,90,1,1955,77,1,0
2013,10,30,3,WN,13851,12889,1700,19,1,1745,34,1,0
2013,4,29,1,WN,11292,11433,1940,9,0,20,12,0,0
2013,6,2,7,AS,14747,13487,655,5,0,1210,1,0,0
2013,5,30,4,UA,13930,13487,1035,-8,0,1201,-18,0,0
2013,8,18,7,MQ,11292,13930,1245,25,1,1600,33,1,0
2013,10,30,3,FL,13232,13204,710,-1,0,1045,-4,0,0
2013,8,30,5,B6,13930,10721,1254,-6,0,1614,-13,0,0
2013,4,9,2,WN,14893,14908,840,0,0,1005,-14,0,0
2013,10,7,1,WN,14679,10423,1335,0,0,1810,8,0,0
2013,5,8,3,US,11057,14492,1622,7,0,1714,12,0,0
2013,8,29,4,EV,12266,13871,1252,-5,0,1504,-1,0,0
2013,4,14,7,WN,11433,13232,1550,10,0,1605,9,0,0
2013,8,5,1,AA,10397,11298,1800,-7,0,1930,-15,0,0
2013,10,23,3,WN,14100,13232,2015,96,1,2140,68,1,0
2013,6,20,4,US,12478,14107,645,-6,0,908,-21,0,0
2013,7,6,6,WN,10821,14730,1955,-2,0,2130,1,0,0
2013,10,20,7,AS,13796,13830,700,13,0,911,47,1,0
2013,9,6,5,VX,14679,14771,915,-1,0,1045,-13,0,0
2013,8,15,4,US,14100,10529,2035,4,0,2140,12,0,0
2013,10,3,4,WN,12892,13198,1825,7,0,2330,1,0,0
2013,7,12,5,AA,11298,12451,1855,41,1,2215,42,1,0
2013,7,2,2,UA,13204,11618,941,2,0,1220,-3,0,0
2013,8,14,3,OO,13487,13232,700,-2,0,833,1,0,0
2013,7,10,3,UA,11618,14679,1741,42,1,2037,36,1,0
2013,10,26,6,WN,13232,11433,1550,14,0,1805,-6,0,0
2013,8,3,6,UA,13930,13204,1310,-1,0,1653,-27,0,0
2013,10,11,5,DL,11697,12953,1805,77,1,2105,89,1,0
2013,10,7,1,9E,12478,13487,1820,143,1,2034,151,1,0
2013,5,6,1,WN,11259,12191,1430,11,0,1535,5,0,0
2013,6,13,4,OO,12892,14679,1844,34,1,1943,25,1,0
2013,9,26,4,AA,12892,10529,2355,-1,0,810,-9,0,0
2013,9,28,6,OO,13342,13930,1320,-5,0,1407,-17,0,0
2013,5,9,4,US,14100,13487,1335,-8,0,1526,-28,0,0
2013,8,7,3,AA,11298,11278,1015,-3,0,1410,40,1,0
2013,7,15,1,AA,13204,11298,930,-6,0,1110,-3,0,0
2013,8,12,1,WN,14679,10140,1755,56,1,2035,51,1,0
2013,9,25,3,AA,13930,14107,1455,0,0,1635,-2,0,0
2013,10,27,7,US,14100,14683,1800,-8,0,2115,-34,0,0
2013,8,28,3,DL,11278,10397,1200,-7,0,1348,-23,0,0
2013,6,27,4,AA,13930,14492,1020,-4,0,1315,-12,0,0
2013,10,30,3,9E,11193,11278,1600,27,1,1726,25,1,0
2013,10,4,5,DL,10397,13495,1336,-4,0,1410,6,0,0
2013,4,10,3,UA,12892,11618,840,2,0,1704,0,0,0
2013,5,6,1,B6,12889,12954,1108,27,1,1215,22,1,0
2013,6,21,5,EV,11057,12266,645,-6,0,819,8,0,0
2013,10,29,2,VX,12892,11618,2335,-3,0,750,-19,0,0
2013,7,22,1,MQ,13930,11066,2040,104,1,2250,97,1,0
2013,7,31,3,EV,11618,13495,1317,24,1,1528,20,1,0
2013,9,30,1,US,11618,14107,1650,5,0,1900,-16,0,0
2013,4,19,5,WN,10529,13204,1410,12,0,1700,15,1,0
2013,5,6,1,B6,12478,14057,2040,-1,0,2353,-49,0,0
2013,7,9,2,WN,14107,10693,1230,6,0,1755,4,0,0
2013,6,3,1,WN,10423,12191,1830,-3,0,1925,-12,0,0
2013,6,30,7,YV,13871,14107,1810,-7,0,1901,-15,0,0
2013,8,2,5,WN,12889,14869,1640,14,0,1900,-4,0,0
2013,8,30,5,YV,11433,13930,600,-5,0,610,-19,0,0
2013,7,1,1,FL,11697,13342,1020,-3,0,1226,-20,0,0
2013,8,26,1,EV,11193,12266,600,,,725,,1,1
2013,4,21,7,FL,13204,13487,1930,47,1,2151,64,1,0
2013,10,18,5,MQ,11057,12953,1630,-3,0,1830,4,0,0
2013,10,10,4,DL,10397,10693,1230,-1,0,1235,-14,0,0
2013,4,6,6,WN,12889,14908,1755,8,0,1900,-7,0,0
2013,7,7,7,US,11057,14843,1310,2,0,1642,3,0,0
2013,5,30,4,US,14747,11057,1120,1,0,1916,26,1,0
2013,8,24,6,WN,13495,15304,1015,13,0,1240,18,1,0
2013,5,1,3,DL,10397,11298,1855,-1,0,2015,-22,0,0
2013,8,28,3,OO,14683,14107,850,-9,0,907,-4,0,0
2013,10,19,6,UA,12892,11042,1054,-5,0,1819,-7,0,0
2013,8,25,7,US,14107,11618,1520,27,1,2305,13,0,0
2013,8,20,2,WN,12953,13342,950,-1,0,1120,-33,0,0
2013,5,1,3,US,11057,12478,1311,-2,0,1502,1,0,0
2013,10,28,1,B6,10721,14771,1950,36,1,2333,25,1,0
2013,7,28,7,AA,13303,11278,1330,7,0,1600,5,0,0
2013,5,5,7,MQ,13198,13930,1745,-3,0,1910,2,0,0
2013,4,16,2,9E,13930,11193,840,-8,0,1055,-11,0,0
2013,8,1,4,FL,12339,13204,1730,-7,0,1941,-13,0,0
2013,8,14,3,EV,13487,11618,1511,6,0,1900,36,1,0
2013,5,30,4,AA,11298,13851,2245,0,0,2335,-3,0,0
2013,7,30,2,UA,11618,12889,1456,-4,0,1724,-6,0,0
2013,4,15,1,VX,14771,12892,1705,-3,0,1830,3,0,0
2013,9,19,4,WN,13232,12191,1355,84,1,1625,98,1,0
2013,7,5,5,DL,10397,13198,1505,-1,0,1618,-22,0,0
2013,7,31,3,AA,11298,10423,1255,67,1,1355,60,1,0
2013,8,11,7,UA,11618,14107,659,-7,0,921,-15,0,0
2013,5,12,7,UA,12892,12478,830,-7,0,1650,-1,0,0
2013,4,29,1,UA,11292,13495,1316,-3,0,1649,-8,0,0
2013,10,21,1,UA,13930,11618,1400,-3,0,1718,-9,0,0
2013,4,16,2,DL,15304,12953,1854,-8,0,2140,-18,0,0
2013,5,16,4,WN,10693,12889,1815,12,0,2015,-6,0,0
2013,4,18,4,US,11057,14771,930,0,0,1211,-6,0,0
2013,8,20,2,UA,14771,11292,1505,-1,0,1840,1,0,0
2013,9,6,5,YV,14683,14107,1835,-8,0,1901,8,0,0
2013,9,16,1,WN,11618,13232,1800,0,0,1920,9,0,0
2013,5,11,6,DL,10397,14100,1635,18,1,1847,19,1,0
2013,7,28,7,EV,12478,12264,1415,-10,0,1534,12,0,0
2013,6,20,4,MQ,12478,11278,1510,-5,0,1635,-12,0,0
2013,6,4,2,US,14107,10821,845,-3,0,1615,-14,0,0
2013,8,12,1,WN,14893,10800,1510,13,0,1620,10,0,0
2013,7,7,7,UA,14771,11042,1045,-3,0,1824,-17,0,0
2013,7,10,3,UA,12173,14771,2057,-2,0,450,-6,0,0
2013,10,6,7,MQ,10529,13930,740,-6,0,910,-14,0,0
2013,9,13,5,DL,13303,10397,1745,-1,0,1944,-3,0,0
2013,10,18,5,AA,11298,11618,740,0,0,1200,-17,0,0
2013,5,6,1,WN,14893,12892,940,37,1,1110,19,1,0
2013,8,2,5,DL,14747,14869,600,-4,0,858,-7,0,0
2013,7,30,2,US,10721,14107,1015,-2,0,1240,7,0,0
2013,5,25,6,DL,14771,13487,635,-5,0,1215,-31,0,0
2013,9,12,4,US,14100,14307,2050,87,1,2158,89,1,0
2013,4,21,7,WN,14893,10800,945,-1,0,1055,-9,0,0
2013,5,31,5,OO,10140,12892,1905,-7,0,2015,-20,0,0
2013,9,23,1,WN,12191,10140,2100,23,1,2200,26,1,0
2013,7,12,5,UA,14771,14747,1047,6,0,1305,-19,0,0
2013,9,8,7,OO,12892,14679,1612,73,1,1703,70,1,0
2013,8,1,4,OO,14107,12892,1644,-7,0,1810,-7,0,0
2013,5,1,3,EV,13244,13495,1420,-2,0,1539,-12,0,0
2013,5,16,4,AS,14747,12889,1415,-8,0,1633,2,0,0
2013,5,6,1,WN,10423,14831,815,-2,0,1010,-10,0,0
2013,6,21,5,9E,13487,11193,1015,123,1,1311,123,1,0
2013,5,10,5,WN,14893,14107,850,-1,0,1040,-5,0,0
2013,9,23,1,EV,10397,12266,1058,10,0,1212,10,0,0
2013,10,27,7,AA,11298,14683,1420,5,0,1525,6,0,0
2013,9,8,7,UA,14100,13930,938,-5,0,1052,-17,0,0
2013,7,1,1,VX,12892,10721,1305,11,0,2135,13,0,0
2013,6,21,5,WN,13232,15016,2155,179,1,2255,168,1,0
2013,9,20,5,WN,12889,14747,810,-1,0,1040,-6,0,0
2013,6,1,6,OO,12892,14107,805,-2,0,929,2,0,0
2013,4,24,3,AA,11057,11298,1915,-6,0,2100,-3,0,0
2013,9,17,2,OO,14747,12954,1335,-6,0,1611,-5,0,0
2013,8,16,5,FL,13198,13204,800,-4,0,1140,-8,0,0
2013,10,20,7,AA,10423,11298,745,0,0,855,-10,0,0
2013,5,10,5,OO,14771,14893,655,-5,0,741,-18,0,0
2013,5,26,7,MQ,11278,10693,1355,-9,0,1445,-11,0,0
2013,7,15,1,WN,12889,14893,2210,40,1,2330,31,1,0
2013,6,8,6,UA,13830,12892,1240,320,1,2102,283,1,0
2013,4,19,5,AA,13204,13303,1405,-8,0,1510,0,0,0
2013,7,15,1,WN,12953,13232,1340,-1,0,1510,-14,0,0
2013,8,4,7,WN,10821,14635,805,-3,0,1040,-12,0,0
2013,9,13,5,DL,12478,11697,1540,32,1,1901,35,1,0
2013,8,3,6,DL,10397,13204,1659,-5,0,1834,-16,0,0
2013,5,25,6,WN,11042,13232,1450,10,0,1505,10,0,0
2013,4,3,3,MQ,13871,13930,1720,-4,0,1855,-16,0,0
2013,9,10,2,WN,11292,12889,915,0,0,1005,-5,0,0
2013,9,17,2,UA,10423,12266,530,-8,0,621,-13,0,0
2013,9,29,7,DL,12889,13487,1129,-1,0,1637,8,0,0
2013,9,13,5,EV,11618,10693,1510,43,1,1641,26,1,0
2013,5,29,3,WN,12889,13232,1705,-2,0,2230,20,1,0
2013,8,15,4,WN,12892,14107,1610,69,1,1735,73,1,0
2013,10,16,3,DL,10397,14524,1545,-5,0,1721,-7,0,0
2013,4,13,6,WN,10721,13232,1500,10,0,1640,5,0,0
2013,10,5,6,WN,14679,13232,1015,-1,0,1610,-13,0,0
2013,10,11,5,DL,12889,13487,1556,-5,0,2100,-10,0,0
2013,10,8,2,DL,12892,10397,2240,-2,0,558,-5,0,0
2013,9,25,3,UA,14831,11292,1436,4,0,1808,-20,0,0
2013,8,8,4,WN,13851,13198,1045,1,0,1155,-11,0,0
2013,9,8,7,B6,12478,12892,700,-6,0,1003,-37,0,0
2013,4,5,5,UA,10821,12266,1728,-6,0,2002,-38,0,0
2013,7,2,2,WN,10800,14893,1555,-2,0,1710,-9,0,0
2013,4,22,1,EV,13930,13871,1705,-4,0,1837,-9,0,0
2013,6,20,4,AS,10299,14057,115,-9,0,545,12,0,0
2013,9,18,3,AA,11298,12339,1320,19,1,1625,8,0,0
2013,10,1,2,AA,13930,11298,1010,-7,0,1240,-15,0,0
2013,8,6,2,DL,13487,12892,700,-5,0,848,8,0,0
2013,4,28,7,AA,12889,12892,1005,-8,0,1120,5,0,0
2013,8,11,7,OO,14771,14747,1554,-6,0,1756,-10,0,0
2013,10,6,7,WN,13796,11292,1025,-3,0,1345,-3,0,0
2013,10,19,6,F9,13204,11292,1728,3,0,1930,-7,0,0
2013,9,7,6,AS,11278,14747,1845,0,0,2134,-36,0,0
2013,9,22,7,WN,14492,10821,1120,-5,0,1220,-9,0,0
2013,6,21,5,OO,14869,13198,957,-7,0,1325,-5,0,0
2013,10,8,2,UA,11292,10721,835,55,1,1431,43,1,0
2013,10,4,5,US,14107,12889,1655,-1,0,1801,13,0,0
2013,10,25,5,US,14107,14771,1020,89,1,1231,76,1,0
2013,6,22,6,WN,14100,15016,730,0,0,850,-18,0,0
2013,7,1,1,DL,10397,11618,1355,25,1,1621,12,0,0
2013,4,9,2,UA,13495,12266,1734,0,0,1851,-1,0,0
2013,4,22,1,UA,12892,12266,1148,2,0,1700,-10,0,0
2013,8,28,3,US,14492,14100,1755,-4,0,1920,49,1,0
2013,9,16,1,DL,15304,12478,1539,4,0,1824,13,0,0
2013,6,16,7,US,14107,13930,745,0,0,1309,-20,0,0
2013,5,4,6,AS,14747,12173,1915,-4,0,2225,-18,0,0
2013,7,13,6,DL,13930,11433,1410,-6,0,1631,-7,0,0
2013,10,13,7,WN,14908,14893,1705,5,0,1825,9,0,0
2013,6,20,4,AA,14057,13930,710,15,1,1305,1,0,0
2013,5,22,3,9E,14524,12478,605,-10,0,726,-13,0,0
2013,10,4,5,UA,12264,12892,1756,24,1,2009,45,1,0
2013,10,29,2,B6,10721,13204,1644,-7,0,1959,-33,0,0
2013,6,26,3,FL,10397,12339,850,-1,0,1025,-16,0,0
2013,7,22,1,OO,13930,11042,804,35,1,1027,33,1,0
2013,9,8,7,AA,11298,12266,1215,0,0,1325,-10,0,0
2013,5,21,2,EV,10397,11618,1238,13,0,1459,27,1,0
2013,7,17,3,WN,14893,12889,1140,2,0,1300,1,0,0
2013,8,12,1,WN,15304,11697,735,-2,0,830,-4,0,0
2013,4,5,5,DL,14869,14107,1135,5,0,1210,14,0,0
2013,5,29,3,DL,13244,12892,845,6,0,1053,-14,0,0
2013,8,25,7,WN,13796,14107,1125,15,1,1320,15,1,0
2013,10,16,3,US,11292,14100,1100,2,0,1634,-23,0,0
2013,9,23,1,WN,14122,13232,710,3,0,740,22,1,0
2013,5,4,6,US,14100,10397,950,-6,0,1200,-7,0,0
2013,8,30,5,9E,12264,11433,1700,-7,0,1845,-27,0,0
2013,9,11,3,US,11057,12478,1117,-3,0,1259,5,0,0
2013,8,14,3,DL,11433,13930,1231,431,1,1252,410,1,0
2013,7,14,7,DL,11057,14869,800,8,0,1021,-23,0,0
2013,9,17,2,OO,10721,11042,545,-3,0,745,-8,0,0
2013,4,26,5,US,12889,14107,640,-9,0,750,-21,0,0
2013,5,27,1,WN,11042,10693,1710,-7,0,1745,2,0,0
2013,7,18,4,F9,11292,11298,700,-1,0,947,0,0,0
2013,5,16,4,DL,13931,10397,545,-1,0,728,-9,0,0
2013,10,4,5,DL,13487,13204,1320,-2,0,1729,8,0,0
2013,7,28,7,AA,14057,11298,735,-1,0,1320,-8,0,0
2013,4,13,6,DL,13303,10397,1012,0,0,1208,-11,0,0
2013,4,17,3,WN,10821,11292,1535,142,1,1735,129,1,0
2013,4,24,3,WN,13198,11259,1845,28,1,2015,23,1,0
2013,10,18,5,DL,11433,14747,833,1,0,1025,-15,0,0
2013,4,6,6,YV,11057,11193,955,-5,0,1122,-7,0,0
2013,4,18,4,DL,15304,10397,1715,7,0,1857,-16,0,0
2013,10,13,7,AA,12953,11298,610,5,0,855,0,0,0
2013,6,9,7,DL,11433,13244,1201,-2,0,1304,-7,0,0
2013,10,30,3,AS,12889,14747,900,-3,0,1130,3,0,0
2013,7,10,3,YV,11433,13930,605,19,1,612,21,1,0
2013,4,22,1,OO,12266,13851,1252,-2,0,1414,0,0,0
2013,4,14,7,DL,14057,11433,2255,-5,0,608,-16,0,0
2013,5,11,6,UA,12889,14771,747,22,1,935,15,1,0
2013,7,4,4,B6,13204,11278,1140,-1,0,1352,-15,0,0
2013,7,5,5,WN,13204,14122,910,-3,0,1125,-12,0,0
2013,10,19,6,YV,11057,12264,1442,-1,0,1613,-13,0,0
2013,7,3,3,MQ,13930,12451,1245,5,0,1605,18,1,0
2013,5,9,4,WN,12889,14107,840,0,0,950,-5,0,0
2013,9,19,4,UA,14771,11292,1606,29,1,1939,21,1,0
2013,4,15,1,AA,12892,13830,1730,-6,0,2010,-2,0,0
2013,5,5,7,EV,11292,13244,958,3,0,1314,-1,0,0
2013,6,22,6,UA,11618,11292,1720,-3,0,1937,-29,0,0
2013,10,22,2,US,12892,11057,900,-6,0,1641,-18,0,0
2013,6,9,7,B6,10721,14100,845,-7,0,1015,-10,0,0
2013,6,29,6,DL,10397,13871,1921,-1,0,2050,-11,0,0
2013,7,28,7,UA,10721,12264,1430,27,1,1616,20,1,0
2013,5,5,7,OO,10140,12892,1100,-8,0,1208,6,0,0
2013,8,17,6,WN,14122,15304,1545,106,1,1805,105,1,0
2013,8,26,1,US,14107,13930,1510,-2,0,2034,6,0,0
2013,7,26,5,AA,12892,11298,905,-5,0,1415,-7,0,0
2013,4,25,4,WN,11292,13232,1640,32,1,2000,16,1,0
2013,5,29,3,DL,12892,12889,1140,0,0,1254,-4,0,0
2013,9,22,7,DL,11292,10397,1035,-2,0,1527,-6,0,0
2013,4,25,4,DL,12953,13204,705,25,1,951,28,1,0
2013,5,4,6,AS,14747,15016,1150,-7,0,1731,15,1,0
2013,7,21,7,DL,14771,10397,615,-5,0,1357,-10,0,0
2013,9,6,5,MQ,10397,13930,2125,-7,0,2220,-20,0,0
2013,6,16,7,AA,11298,13495,1910,90,1,2035,79,1,0
2013,8,8,4,MQ,13930,14524,1315,11,0,1610,7,0,0
2013,5,20,1,AA,12953,13930,1415,-3,0,1555,-26,0,0
2013,9,26,4,WN,14771,14679,2040,-3,0,2205,-17,0,0
2013,7,8,1,9E,14524,11193,715,78,1,852,79,1,0
2013,8,6,2,DL,14869,10397,105,-3,0,635,-14,0,0
2013,8,23,5,WN,13796,12889,620,2,0,755,-14,0,0
2013,10,23,3,DL,10397,12266,1920,-2,0,2037,-15,0,0
2013,4,5,5,FL,15304,12339,1104,7,0,1309,17,1,0
2013,10,13,7,DL,12892,11193,2315,-3,0,625,-34,0,0
2013,5,6,1,WN,14831,14908,1040,-1,0,1155,-2,0,0
2013,7,21,7,FL,12889,10821,2330,2,0,705,3,0,0
2013,7,24,3,WN,14831,14107,2110,15,1,2255,20,1,0
2013,7,7,7,B6,12954,13796,1530,,,1643,,1,1
2013,7,12,5,FL,13198,10397,1151,0,0,1445,69,1,0
2013,8,27,2,WN,14107,13891,1335,-3,0,1440,-4,0,0
2013,8,10,6,DL,13487,14869,900,0,0,1046,-10,0,0
2013,8,27,2,DL,12892,10397,2245,-9,0,609,-13,0,0
2013,10,27,7,FL,13204,13342,1815,0,0,2000,6,0,0
